themename,themepercent,themenamecodename,code,snname,sncode
Trade facilitation and market access,13,Improving labor markets,51,Central government administration,BC
Trade facilitation and market access,13,Improving labor markets,51,Agricultural extension and research,AB
Trade facilitation and market access,13,Improving labor markets,51,General industry and trade sector,YZ
Trade facilitation and market access,13,Improving labor markets,51,Vocational training,EV
Trade facilitation and market access,13,"Public expenditure, financial management and procurement",27,Central government administration,BC
Trade facilitation and market access,13,"Public expenditure, financial management and procurement",27,Agricultural extension and research,AB
Trade facilitation and market access,13,"Public expenditure, financial management and procurement",27,General industry and trade sector,YZ
Trade facilitation and market access,13,"Public expenditure, financial management and procurement",27,Vocational training,EV
Trade facilitation and market access,13,Rural services and infrastructure,78,Central government administration,BC
Trade facilitation and market access,13,Rural services and infrastructure,78,Agricultural extension and research,AB
Trade facilitation and market access,13,Rural services and infrastructure,78,General industry and trade sector,YZ
Trade facilitation and market access,13,Rural services and infrastructure,78,Vocational training,EV
Macroeconomic management,18,Macroeconomic management,23,Central government administration,BC
Macroeconomic management,18,"Economic statistics, modeling and forecasting",22,Central government administration,BC
Macroeconomic management,18,Administrative and civil service reform,25,Central government administration,BC
Municipal governance and institution building,1,Municipal governance and institution building,73,Urban Transport,TC
Municipal governance and institution building,1,Municipal governance and institution building,73,Flood protection,WD
Municipal governance and institution building,1,Municipal governance and institution building,73,Wastewater Treatment and Disposal,WV
Municipal governance and institution building,1,Municipal governance and institution building,73,General transportation sector,TZ
Municipal governance and institution building,1,Municipal governance and institution building,73,Sub-national government administration,BH
Municipal governance and institution building,1,Water resource management,85,Urban Transport,TC
Municipal governance and institution building,1,Water resource management,85,Flood protection,WD
Municipal governance and institution building,1,Water resource management,85,Wastewater Treatment and Disposal,WV
Municipal governance and institution building,1,Water resource management,85,General transportation sector,TZ
Municipal governance and institution building,1,Water resource management,85,Sub-national government administration,BH
Municipal governance and institution building,1,Pollution management and environmental health,84,Urban Transport,TC
Municipal governance and institution building,1,Pollution management and environmental health,84,Flood protection,WD
Municipal governance and institution building,1,Pollution management and environmental health,84,Wastewater Treatment and Disposal,WV
Municipal governance and institution building,1,Pollution management and environmental health,84,General transportation sector,TZ
Municipal governance and institution building,1,Pollution management and environmental health,84,Sub-national government administration,BH
"Micro, Small and Medium Enterprise support",16,"Micro, Small and Medium Enterprise support",41,General industry and trade sector,YZ
"Micro, Small and Medium Enterprise support",16,"Micro, Small and Medium Enterprise support",41,Central government administration,BC
"Micro, Small and Medium Enterprise support",16,"Micro, Small and Medium Enterprise support",41,SME Finance,FH
"Micro, Small and Medium Enterprise support",16,Technology diffusion,48,General industry and trade sector,YZ
"Micro, Small and Medium Enterprise support",16,Technology diffusion,48,Central government administration,BC
"Micro, Small and Medium Enterprise support",16,Technology diffusion,48,SME Finance,FH
Pollution management and environmental health,50,Pollution management and environmental health,84,Petrochemicals and fertilizers,YD
Pollution management and environmental health,50,Pollution management and environmental health,84,Public administration- Industry and trade,BT
Pollution management and environmental health,50,Pollution management and environmental health,84,Central government administration,BC
Pollution management and environmental health,50,Environmental policies and institutions,82,Petrochemicals and fertilizers,YD
Pollution management and environmental health,50,Environmental policies and institutions,82,Public administration- Industry and trade,BT
Pollution management and environmental health,50,Environmental policies and institutions,82,Central government administration,BC
Trade facilitation and market access,95,Trade facilitation and market access,49,Rural and Inter-Urban Roads and Highways,TI
Trade facilitation and market access,95,Trade facilitation and market access,49,General transportation sector,TZ
Trade facilitation and market access,95,Trade facilitation and market access,49,Public administration- Transportation,BV
Trade facilitation and market access,95,Infrastructure services for private sector development,39,Rural and Inter-Urban Roads and Highways,TI
Trade facilitation and market access,95,Infrastructure services for private sector development,39,General transportation sector,TZ
Trade facilitation and market access,95,Infrastructure services for private sector development,39,Public administration- Transportation,BV
Trade facilitation and market access,95,Administrative and civil service reform,25,Rural and Inter-Urban Roads and Highways,TI
Trade facilitation and market access,95,Administrative and civil service reform,25,General transportation sector,TZ
Trade facilitation and market access,95,Administrative and civil service reform,25,Public administration- Transportation,BV
Administrative and civil service reform,5,Administrative and civil service reform,25,Central government administration,BC
Administrative and civil service reform,5,Tax policy and administration,28,Central government administration,BC
Climate change,62,Climate change,81,General energy sector,LZ
Climate change,62,Climate change,81,Sub-national government administration,BH
Climate change,62,Climate change,81,Other Renewable Energy,LR
Climate change,62,Climate change,81,Urban Transport,TC
Climate change,40,Climate change,81,Energy efficiency in Heat and Power,LA
Climate change,40,Climate change,81,Banking,FA
Climate change,40,Other public sector governance,30,Energy efficiency in Heat and Power,LA
Climate change,40,Other public sector governance,30,Banking,FA
Other rural development,25,Other rural development,79,"General water, sanitation and flood protection sector",WZ
Other rural development,25,Other rural development,79,"Public administration- Water, sanitation and flood protection",BW
Other rural development,25,Water resource management,85,"General water, sanitation and flood protection sector",WZ
Other rural development,25,Water resource management,85,"Public administration- Water, sanitation and flood protection",BW
Other rural development,25,Environmental policies and institutions,82,"General water, sanitation and flood protection sector",WZ
Other rural development,25,Environmental policies and institutions,82,"Public administration- Water, sanitation and flood protection",BW
Other urban development,13,Other urban development,74,General transportation sector,TZ
Other urban development,13,Other urban development,74,Public administration- Industry and trade,BT
Other urban development,13,Other urban development,74,"General water, sanitation and flood protection sector",WZ
Other urban development,13,Other urban development,74,"Agro-industry, marketing, and trade",YA
Other urban development,13,Other urban development,74,Other industry,YW
Other urban development,13,Infrastructure services for private sector development,39,General transportation sector,TZ
Other urban development,13,Infrastructure services for private sector development,39,Public administration- Industry and trade,BT
Other urban development,13,Infrastructure services for private sector development,39,"General water, sanitation and flood protection sector",WZ
Other urban development,13,Infrastructure services for private sector development,39,"Agro-industry, marketing, and trade",YA
Other urban development,13,Infrastructure services for private sector development,39,Other industry,YW
Other urban development,13,"Micro, Small and Medium Enterprise support",41,General transportation sector,TZ
Other urban development,13,"Micro, Small and Medium Enterprise support",41,Public administration- Industry and trade,BT
Other urban development,13,"Micro, Small and Medium Enterprise support",41,"General water, sanitation and flood protection sector",WZ
Other urban development,13,"Micro, Small and Medium Enterprise support",41,"Agro-industry, marketing, and trade",YA
Other urban development,13,"Micro, Small and Medium Enterprise support",41,Other industry,YW
Rural markets,7,Rural markets,75,"General agriculture, fishing and forestry sector",AZ
Rural markets,7,Rural markets,75,"Agro-industry, marketing, and trade",YA
Rural markets,7,Rural markets,75,Petrochemicals and fertilizers,YD
Rural markets,7,Rural markets,75,Central government administration,BC
Rural markets,7,Rural services and infrastructure,78,"General agriculture, fishing and forestry sector",AZ
Rural markets,7,Rural services and infrastructure,78,"Agro-industry, marketing, and trade",YA
Rural markets,7,Rural services and infrastructure,78,Petrochemicals and fertilizers,YD
Rural markets,7,Rural services and infrastructure,78,Central government administration,BC
Rural markets,7,Infrastructure services for private sector development,39,"General agriculture, fishing and forestry sector",AZ
Rural markets,7,Infrastructure services for private sector development,39,"Agro-industry, marketing, and trade",YA
Rural markets,7,Infrastructure services for private sector development,39,Petrochemicals and fertilizers,YD
Rural markets,7,Infrastructure services for private sector development,39,Central government administration,BC
Rural markets,7,Rural policies and institutions,77,"General agriculture, fishing and forestry sector",AZ
Rural markets,7,Rural policies and institutions,77,"Agro-industry, marketing, and trade",YA
Rural markets,7,Rural policies and institutions,77,Petrochemicals and fertilizers,YD
Rural markets,7,Rural policies and institutions,77,Central government administration,BC
Rural markets,7,Land administration and management,83,"General agriculture, fishing and forestry sector",AZ
Rural markets,7,Land administration and management,83,"Agro-industry, marketing, and trade",YA
Rural markets,7,Land administration and management,83,Petrochemicals and fertilizers,YD
Rural markets,7,Land administration and management,83,Central government administration,BC
Natural disaster management,83,Natural disaster management,52,"Public administration- Water, sanitation and flood protection",BW
Participation and civic engagement,50,Participation and civic engagement,57,Vocational training,EV
Education for all,100,Education for all,65,Secondary education,ES
Education for all,100,Education for all,65,Pre-primary education,EC
Climate change,100,Climate change,81,Other Renewable Energy,LR
Biodiversity,100,Biodiversity,80,"General agriculture, fishing and forestry sector",AZ
Health system performance,39,Health system performance,67,Health,JA
Health system performance,39,Health system performance,67,Public administration- Health,BQ
Health system performance,39,Health system performance,67,Compulsory health finance,BK
Health system performance,39,Population and reproductive health,69,Health,JA
Health system performance,39,Population and reproductive health,69,Public administration- Health,BQ
Health system performance,39,Population and reproductive health,69,Compulsory health finance,BK
Health system performance,39,Child health,63,Health,JA
Health system performance,39,Child health,63,Public administration- Health,BQ
Health system performance,39,Child health,63,Compulsory health finance,BK
Conflict prevention and post-conflict reconstruction,100,Conflict prevention and post-conflict reconstruction,58,Other social services,JB
Rural policies and institutions,50,Rural policies and institutions,77,Animal production,AJ
Rural policies and institutions,50,Rural policies and institutions,77,Health,JA
Rural policies and institutions,50,Health system performance,67,Animal production,AJ
Rural policies and institutions,50,Health system performance,67,Health,JA
Climate change,100,Climate change,81,Other Renewable Energy,LR
Health system performance,35,Health system performance,67,Health,JA
Health system performance,35,Health system performance,67,Public administration- Health,BQ
Health system performance,35,Child health,63,Health,JA
Health system performance,35,Child health,63,Public administration- Health,BQ
Health system performance,35,Population and reproductive health,69,Health,JA
Health system performance,35,Population and reproductive health,69,Public administration- Health,BQ
Health system performance,35,HIV/AIDS,88,Health,JA
Health system performance,35,HIV/AIDS,88,Public administration- Health,BQ
HIV/AIDS,100,HIV/AIDS,88,Health,JA
HIV/AIDS,100,HIV/AIDS,88,Other social services,JB
Conflict prevention and post-conflict reconstruction,10,Conflict prevention and post-conflict reconstruction,58,Vocational training,EV
Conflict prevention and post-conflict reconstruction,10,Conflict prevention and post-conflict reconstruction,58,Microfinance,FI
Conflict prevention and post-conflict reconstruction,10,Other human development,70,Vocational training,EV
Conflict prevention and post-conflict reconstruction,10,Other human development,70,Microfinance,FI
Conflict prevention and post-conflict reconstruction,10,Rural non-farm income generation,76,Vocational training,EV
Conflict prevention and post-conflict reconstruction,10,Rural non-farm income generation,76,Microfinance,FI
Regulation and competition policy,12,Regulation and competition policy,40,Central government administration,BC
Regulation and competition policy,12,Regulation and competition policy,40,General industry and trade sector,YZ
Regulation and competition policy,12,Regulation and competition policy,40,"General agriculture, fishing and forestry sector",AZ
Regulation and competition policy,12,Regulation and competition policy,40,"Ports, waterways and shipping",TP
Regulation and competition policy,12,Other accountability/anti-corruption,29,Central government administration,BC
Regulation and competition policy,12,Other accountability/anti-corruption,29,General industry and trade sector,YZ
Regulation and competition policy,12,Other accountability/anti-corruption,29,"General agriculture, fishing and forestry sector",AZ
Regulation and competition policy,12,Other accountability/anti-corruption,29,"Ports, waterways and shipping",TP
Regulation and competition policy,12,"Public expenditure, financial management and procurement",27,Central government administration,BC
Regulation and competition policy,12,"Public expenditure, financial management and procurement",27,General industry and trade sector,YZ
Regulation and competition policy,12,"Public expenditure, financial management and procurement",27,"General agriculture, fishing and forestry sector",AZ
Regulation and competition policy,12,"Public expenditure, financial management and procurement",27,"Ports, waterways and shipping",TP
Rural markets,29,Rural markets,75,"General agriculture, fishing and forestry sector",AZ
Rural markets,29,Rural markets,75,General public administration sector,BZ
Rural markets,29,Rural markets,75,"Agro-industry, marketing, and trade",YA
Rural markets,29,Rural markets,75,General industry and trade sector,YZ
Rural markets,29,Rural markets,75,Public administration- Other social services,BS
Rural markets,29,Indigenous peoples,60,"General agriculture, fishing and forestry sector",AZ
Rural markets,29,Indigenous peoples,60,General public administration sector,BZ
Rural markets,29,Indigenous peoples,60,"Agro-industry, marketing, and trade",YA
Rural markets,29,Indigenous peoples,60,General industry and trade sector,YZ
Rural markets,29,Indigenous peoples,60,Public administration- Other social services,BS
Rural markets,29,Rural non-farm income generation,76,"General agriculture, fishing and forestry sector",AZ
Rural markets,29,Rural non-farm income generation,76,General public administration sector,BZ
Rural markets,29,Rural non-farm income generation,76,"Agro-industry, marketing, and trade",YA
Rural markets,29,Rural non-farm income generation,76,General industry and trade sector,YZ
Rural markets,29,Rural non-farm income generation,76,Public administration- Other social services,BS
Rural markets,29,Nutrition and food security,68,"General agriculture, fishing and forestry sector",AZ
Rural markets,29,Nutrition and food security,68,General public administration sector,BZ
Rural markets,29,Nutrition and food security,68,"Agro-industry, marketing, and trade",YA
Rural markets,29,Nutrition and food security,68,General industry and trade sector,YZ
Rural markets,29,Nutrition and food security,68,Public administration- Other social services,BS
Rural markets,29,Conflict prevention and post-conflict reconstruction,58,"General agriculture, fishing and forestry sector",AZ
Rural markets,29,Conflict prevention and post-conflict reconstruction,58,General public administration sector,BZ
Rural markets,29,Conflict prevention and post-conflict reconstruction,58,"Agro-industry, marketing, and trade",YA
Rural markets,29,Conflict prevention and post-conflict reconstruction,58,General industry and trade sector,YZ
Rural markets,29,Conflict prevention and post-conflict reconstruction,58,Public administration- Other social services,BS
Malaria,17,Malaria,92,Health,JA
Malaria,17,Malaria,92,Public administration- Health,BQ
Malaria,17,HIV/AIDS,88,Health,JA
Malaria,17,HIV/AIDS,88,Public administration- Health,BQ
Malaria,17,Health system performance,67,Health,JA
Malaria,17,Health system performance,67,Public administration- Health,BQ
Malaria,17,Tuberculosis,93,Health,JA
Malaria,17,Tuberculosis,93,Public administration- Health,BQ
Malaria,17,Child health,63,Health,JA
Malaria,17,Child health,63,Public administration- Health,BQ
Social safety nets,37,Social safety nets,54,Other social services,JB
Social safety nets,37,Social safety nets,54,Health,JA
Social safety nets,37,Social safety nets,54,Adult literacy/non-formal education,EL
Social safety nets,37,Social safety nets,54,Sub-national government administration,BH
Social safety nets,37,Gender,59,Other social services,JB
Social safety nets,37,Gender,59,Health,JA
Social safety nets,37,Gender,59,Adult literacy/non-formal education,EL
Social safety nets,37,Gender,59,Sub-national government administration,BH
Social safety nets,37,Nutrition and food security,68,Other social services,JB
Social safety nets,37,Nutrition and food security,68,Health,JA
Social safety nets,37,Nutrition and food security,68,Adult literacy/non-formal education,EL
Social safety nets,37,Nutrition and food security,68,Sub-national government administration,BH
Social safety nets,37,Improving labor markets,51,Other social services,JB
Social safety nets,37,Improving labor markets,51,Health,JA
Social safety nets,37,Improving labor markets,51,Adult literacy/non-formal education,EL
Social safety nets,37,Improving labor markets,51,Sub-national government administration,BH
Education for the knowledge economy,91,Education for the knowledge economy,66,Tertiary education,ET
Education for the knowledge economy,91,Education for the knowledge economy,66,Vocational training,EV
Education for the knowledge economy,91,Education for the knowledge economy,66,Public administration- Education,BN
Education for the knowledge economy,91,Education for the knowledge economy,66,General education sector,EZ
Education for the knowledge economy,91,Gender,59,Tertiary education,ET
Education for the knowledge economy,91,Gender,59,Vocational training,EV
Education for the knowledge economy,91,Gender,59,Public administration- Education,BN
Education for the knowledge economy,91,Gender,59,General education sector,EZ
Rural policies and institutions,21,Rural policies and institutions,77,Agricultural extension and research,AB
Rural policies and institutions,21,Rural policies and institutions,77,Irrigation and drainage,AI
Rural policies and institutions,21,Rural policies and institutions,77,"General agriculture, fishing and forestry sector",AZ
Rural policies and institutions,21,Rural policies and institutions,77,"Public administration- Agriculture, fishing and forestry",BL
Rural policies and institutions,21,Rural policies and institutions,77,Animal production,AJ
Rural policies and institutions,21,Land administration and management,83,Agricultural extension and research,AB
Rural policies and institutions,21,Land administration and management,83,Irrigation and drainage,AI
Rural policies and institutions,21,Land administration and management,83,"General agriculture, fishing and forestry sector",AZ
Rural policies and institutions,21,Land administration and management,83,"Public administration- Agriculture, fishing and forestry",BL
Rural policies and institutions,21,Land administration and management,83,Animal production,AJ
Rural policies and institutions,21,Climate change,81,Agricultural extension and research,AB
Rural policies and institutions,21,Climate change,81,Irrigation and drainage,AI
Rural policies and institutions,21,Climate change,81,"General agriculture, fishing and forestry sector",AZ
Rural policies and institutions,21,Climate change,81,"Public administration- Agriculture, fishing and forestry",BL
Rural policies and institutions,21,Climate change,81,Animal production,AJ
Rural policies and institutions,21,Rural services and infrastructure,78,Agricultural extension and research,AB
Rural policies and institutions,21,Rural services and infrastructure,78,Irrigation and drainage,AI
Rural policies and institutions,21,Rural services and infrastructure,78,"General agriculture, fishing and forestry sector",AZ
Rural policies and institutions,21,Rural services and infrastructure,78,"Public administration- Agriculture, fishing and forestry",BL
Rural policies and institutions,21,Rural services and infrastructure,78,Animal production,AJ
Rural policies and institutions,21,Other rural development,79,Agricultural extension and research,AB
Rural policies and institutions,21,Other rural development,79,Irrigation and drainage,AI
Rural policies and institutions,21,Other rural development,79,"General agriculture, fishing and forestry sector",AZ
Rural policies and institutions,21,Other rural development,79,"Public administration- Agriculture, fishing and forestry",BL
Rural policies and institutions,21,Other rural development,79,Animal production,AJ
Biodiversity,19,Biodiversity,80,Animal production,AJ
Biodiversity,19,Biodiversity,80,"Ports, waterways and shipping",TP
Biodiversity,19,Biodiversity,80,"Public administration- Agriculture, fishing and forestry",BL
Biodiversity,19,Biodiversity,80,Sub-national government administration,BH
Biodiversity,19,Rural non-farm income generation,76,Animal production,AJ
Biodiversity,19,Rural non-farm income generation,76,"Ports, waterways and shipping",TP
Biodiversity,19,Rural non-farm income generation,76,"Public administration- Agriculture, fishing and forestry",BL
Biodiversity,19,Rural non-farm income generation,76,Sub-national government administration,BH
Biodiversity,19,Other rural development,79,Animal production,AJ
Biodiversity,19,Other rural development,79,"Ports, waterways and shipping",TP
Biodiversity,19,Other rural development,79,"Public administration- Agriculture, fishing and forestry",BL
Biodiversity,19,Other rural development,79,Sub-national government administration,BH
Other urban development,33,Other urban development,74,Public administration- Transportation,BV
Other urban development,33,Other urban development,74,Urban Transport,TC
Other urban development,33,Other urban development,74,General transportation sector,TZ
Other urban development,33,Other urban development,74,Sub-national government administration,BH
Other urban development,33,Climate change,81,Public administration- Transportation,BV
Other urban development,33,Climate change,81,Urban Transport,TC
Other urban development,33,Climate change,81,General transportation sector,TZ
Other urban development,33,Climate change,81,Sub-national government administration,BH
Other urban development,33,Pollution management and environmental health,84,Public administration- Transportation,BV
Other urban development,33,Pollution management and environmental health,84,Urban Transport,TC
Other urban development,33,Pollution management and environmental health,84,General transportation sector,TZ
Other urban development,33,Pollution management and environmental health,84,Sub-national government administration,BH
Education for the knowledge economy,9,Education for the knowledge economy,66,General education sector,EZ
Education for the knowledge economy,9,Education for the knowledge economy,66,Public administration- Education,BN
Education for the knowledge economy,9,Education for all,65,General education sector,EZ
Education for the knowledge economy,9,Education for all,65,Public administration- Education,BN
Municipal governance and institution building,67,Municipal governance and institution building,73,Rural and Inter-Urban Roads and Highways,TI
Municipal governance and institution building,67,Municipal governance and institution building,73,Sub-national government administration,BH
Municipal governance and institution building,67,Municipal governance and institution building,73,"General water, sanitation and flood protection sector",WZ
Municipal governance and institution building,67,Other urban development,74,Rural and Inter-Urban Roads and Highways,TI
Municipal governance and institution building,67,Other urban development,74,Sub-national government administration,BH
Municipal governance and institution building,67,Other urban development,74,"General water, sanitation and flood protection sector",WZ
Municipal governance and institution building,29,Municipal governance and institution building,73,Sub-national government administration,BH
Municipal governance and institution building,29,Municipal governance and institution building,73,Other social services,JB
Municipal governance and institution building,29,Municipal governance and institution building,73,"General water, sanitation and flood protection sector",WZ
Municipal governance and institution building,29,Municipal governance and institution building,73,Rural and Inter-Urban Roads and Highways,TI
Municipal governance and institution building,29,Municipal governance and institution building,73,"General agriculture, fishing and forestry sector",AZ
Municipal governance and institution building,29,Conflict prevention and post-conflict reconstruction,58,Sub-national government administration,BH
Municipal governance and institution building,29,Conflict prevention and post-conflict reconstruction,58,Other social services,JB
Municipal governance and institution building,29,Conflict prevention and post-conflict reconstruction,58,"General water, sanitation and flood protection sector",WZ
Municipal governance and institution building,29,Conflict prevention and post-conflict reconstruction,58,Rural and Inter-Urban Roads and Highways,TI
Municipal governance and institution building,29,Conflict prevention and post-conflict reconstruction,58,"General agriculture, fishing and forestry sector",AZ
Municipal governance and institution building,29,Participation and civic engagement,57,Sub-national government administration,BH
Municipal governance and institution building,29,Participation and civic engagement,57,Other social services,JB
Municipal governance and institution building,29,Participation and civic engagement,57,"General water, sanitation and flood protection sector",WZ
Municipal governance and institution building,29,Participation and civic engagement,57,Rural and Inter-Urban Roads and Highways,TI
Municipal governance and institution building,29,Participation and civic engagement,57,"General agriculture, fishing and forestry sector",AZ
Municipal governance and institution building,29,Municipal finance,72,Sub-national government administration,BH
Municipal governance and institution building,29,Municipal finance,72,Other social services,JB
Municipal governance and institution building,29,Municipal finance,72,"General water, sanitation and flood protection sector",WZ
Municipal governance and institution building,29,Municipal finance,72,Rural and Inter-Urban Roads and Highways,TI
Municipal governance and institution building,29,Municipal finance,72,"General agriculture, fishing and forestry sector",AZ
Improving labor markets,12,Improving labor markets,51,Other social services,JB
Improving labor markets,12,Improving labor markets,51,Public administration- Other social services,BS
Improving labor markets,12,Rural services and infrastructure,78,Other social services,JB
Improving labor markets,12,Rural services and infrastructure,78,Public administration- Other social services,BS
Improving labor markets,12,Social safety nets,54,Other social services,JB
Improving labor markets,12,Social safety nets,54,Public administration- Other social services,BS
Other accountability/anti-corruption,20,Other accountability/anti-corruption,29,Public administration- Energy and mining,BU
Other accountability/anti-corruption,20,Rural non-farm income generation,76,Public administration- Energy and mining,BU
Other accountability/anti-corruption,20,Other environment and natural resources management,86,Public administration- Energy and mining,BU
Rural services and infrastructure,23,Rural services and infrastructure,78,"Agro-industry, marketing, and trade",YA
Rural services and infrastructure,23,Rural services and infrastructure,78,Agricultural extension and research,AB
Rural services and infrastructure,23,Rural services and infrastructure,78,Animal production,AJ
Rural services and infrastructure,23,Rural services and infrastructure,78,Irrigation and drainage,AI
Rural services and infrastructure,23,Rural services and infrastructure,78,Crops,AH
Rural services and infrastructure,23,Rural policies and institutions,77,"Agro-industry, marketing, and trade",YA
Rural services and infrastructure,23,Rural policies and institutions,77,Agricultural extension and research,AB
Rural services and infrastructure,23,Rural policies and institutions,77,Animal production,AJ
Rural services and infrastructure,23,Rural policies and institutions,77,Irrigation and drainage,AI
Rural services and infrastructure,23,Rural policies and institutions,77,Crops,AH
Rural services and infrastructure,23,Rural non-farm income generation,76,"Agro-industry, marketing, and trade",YA
Rural services and infrastructure,23,Rural non-farm income generation,76,Agricultural extension and research,AB
Rural services and infrastructure,23,Rural non-farm income generation,76,Animal production,AJ
Rural services and infrastructure,23,Rural non-farm income generation,76,Irrigation and drainage,AI
Rural services and infrastructure,23,Rural non-farm income generation,76,Crops,AH
Rural services and infrastructure,23,Rural markets,75,"Agro-industry, marketing, and trade",YA
Rural services and infrastructure,23,Rural markets,75,Agricultural extension and research,AB
Rural services and infrastructure,23,Rural markets,75,Animal production,AJ
Rural services and infrastructure,23,Rural markets,75,Irrigation and drainage,AI
Rural services and infrastructure,23,Rural markets,75,Crops,AH
Rural services and infrastructure,23,Other rural development,79,"Agro-industry, marketing, and trade",YA
Rural services and infrastructure,23,Other rural development,79,Agricultural extension and research,AB
Rural services and infrastructure,23,Other rural development,79,Animal production,AJ
Rural services and infrastructure,23,Other rural development,79,Irrigation and drainage,AI
Rural services and infrastructure,23,Other rural development,79,Crops,AH
Participation and civic engagement,28,Participation and civic engagement,57,Other social services,JB
Participation and civic engagement,28,Participation and civic engagement,57,Public administration- Other social services,BS
Participation and civic engagement,28,Participation and civic engagement,57,"General water, sanitation and flood protection sector",WZ
Participation and civic engagement,28,Participation and civic engagement,57,General education sector,EZ
Participation and civic engagement,28,Participation and civic engagement,57,"General agriculture, fishing and forestry sector",AZ
Participation and civic engagement,28,Global food crisis response,91,Other social services,JB
Participation and civic engagement,28,Global food crisis response,91,Public administration- Other social services,BS
Participation and civic engagement,28,Global food crisis response,91,"General water, sanitation and flood protection sector",WZ
Participation and civic engagement,28,Global food crisis response,91,General education sector,EZ
Participation and civic engagement,28,Global food crisis response,91,"General agriculture, fishing and forestry sector",AZ
Participation and civic engagement,28,Rural services and infrastructure,78,Other social services,JB
Participation and civic engagement,28,Rural services and infrastructure,78,Public administration- Other social services,BS
Participation and civic engagement,28,Rural services and infrastructure,78,"General water, sanitation and flood protection sector",WZ
Participation and civic engagement,28,Rural services and infrastructure,78,General education sector,EZ
Participation and civic engagement,28,Rural services and infrastructure,78,"General agriculture, fishing and forestry sector",AZ
Participation and civic engagement,28,Social safety nets,54,Other social services,JB
Participation and civic engagement,28,Social safety nets,54,Public administration- Other social services,BS
Participation and civic engagement,28,Social safety nets,54,"General water, sanitation and flood protection sector",WZ
Participation and civic engagement,28,Social safety nets,54,General education sector,EZ
Participation and civic engagement,28,Social safety nets,54,"General agriculture, fishing and forestry sector",AZ
Child health,12,Child health,63,Health,JA
Child health,12,Child health,63,Public administration- Health,BQ
Child health,12,Injuries and non-communicable diseases,89,Health,JA
Child health,12,Injuries and non-communicable diseases,89,Public administration- Health,BQ
Child health,12,Health system performance,67,Health,JA
Child health,12,Health system performance,67,Public administration- Health,BQ
Child health,12,Nutrition and food security,68,Health,JA
Child health,12,Nutrition and food security,68,Public administration- Health,BQ
"Micro, Small and Medium Enterprise support",25,"Micro, Small and Medium Enterprise support",41,Energy efficiency in Heat and Power,LA
"Micro, Small and Medium Enterprise support",25,"Micro, Small and Medium Enterprise support",41,SME Finance,FH
"Micro, Small and Medium Enterprise support",25,Climate change,81,Energy efficiency in Heat and Power,LA
"Micro, Small and Medium Enterprise support",25,Climate change,81,SME Finance,FH
Other rural development,11,Other rural development,79,"General agriculture, fishing and forestry sector",AZ
Other rural development,11,Other rural development,79,Irrigation and drainage,AI
Other rural development,11,Other rural development,79,Animal production,AJ
Other rural development,11,Other rural development,79,Agricultural extension and research,AB
Other rural development,11,Other rural development,79,Crops,AH
Other rural development,11,Rural policies and institutions,77,"General agriculture, fishing and forestry sector",AZ
Other rural development,11,Rural policies and institutions,77,Irrigation and drainage,AI
Other rural development,11,Rural policies and institutions,77,Animal production,AJ
Other rural development,11,Rural policies and institutions,77,Agricultural extension and research,AB
Other rural development,11,Rural policies and institutions,77,Crops,AH
Other rural development,11,Rural markets,75,"General agriculture, fishing and forestry sector",AZ
Other rural development,11,Rural markets,75,Irrigation and drainage,AI
Other rural development,11,Rural markets,75,Animal production,AJ
Other rural development,11,Rural markets,75,Agricultural extension and research,AB
Other rural development,11,Rural markets,75,Crops,AH
Other rural development,11,Rural services and infrastructure,78,"General agriculture, fishing and forestry sector",AZ
Other rural development,11,Rural services and infrastructure,78,Irrigation and drainage,AI
Other rural development,11,Rural services and infrastructure,78,Animal production,AJ
Other rural development,11,Rural services and infrastructure,78,Agricultural extension and research,AB
Other rural development,11,Rural services and infrastructure,78,Crops,AH
"Public expenditure, financial management and procurement",12,"Public expenditure, financial management and procurement",27,Other domestic and international trade,YY
"Public expenditure, financial management and procurement",12,"Public expenditure, financial management and procurement",27,Other social services,JB
"Public expenditure, financial management and procurement",12,"Public expenditure, financial management and procurement",27,Central government administration,BC
"Public expenditure, financial management and procurement",12,"Public expenditure, financial management and procurement",27,Vocational training,EV
"Public expenditure, financial management and procurement",12,Education for the knowledge economy,66,Other domestic and international trade,YY
"Public expenditure, financial management and procurement",12,Education for the knowledge economy,66,Other social services,JB
"Public expenditure, financial management and procurement",12,Education for the knowledge economy,66,Central government administration,BC
"Public expenditure, financial management and procurement",12,Education for the knowledge economy,66,Vocational training,EV
"Public expenditure, financial management and procurement",12,Trade facilitation and market access,49,Other domestic and international trade,YY
"Public expenditure, financial management and procurement",12,Trade facilitation and market access,49,Other social services,JB
"Public expenditure, financial management and procurement",12,Trade facilitation and market access,49,Central government administration,BC
"Public expenditure, financial management and procurement",12,Trade facilitation and market access,49,Vocational training,EV
"Public expenditure, financial management and procurement",12,Administrative and civil service reform,25,Other domestic and international trade,YY
"Public expenditure, financial management and procurement",12,Administrative and civil service reform,25,Other social services,JB
"Public expenditure, financial management and procurement",12,Administrative and civil service reform,25,Central government administration,BC
"Public expenditure, financial management and procurement",12,Administrative and civil service reform,25,Vocational training,EV
"Public expenditure, financial management and procurement",12,Vulnerability assessment and monitoring,55,Other domestic and international trade,YY
"Public expenditure, financial management and procurement",12,Vulnerability assessment and monitoring,55,Other social services,JB
